Datetime,Close,High,Low,Open,Volume
19-02-2025,243.8073883,244.9424407,242.1048173,243.5983081,32204200
20-02-2025,244.7632294,245.7091038,243.2299036,243.8770921,32316900
21-02-2025,244.484436,247.6108094,244.1558663,244.8826942,53197400
24-02-2025,246.02771,247.7800669,243.359332,243.8671134,51326400
25-02-2025,245.9679718,248.9151337,243.8472252,246.9238126,48013300
26-02-2025,239.3169556,243.9169022,238.0922974,243.2697289,44433600
27-02-2025,236.2702332,241.4078448,236.0312692,238.3710774,41153600
28-02-2025,240.7905426,241.0394577,229.2010545,235.9217631,56833400
03-03-2025,236.9970703,242.9710334,235.085404,240.7407484,47184000
04-03-2025,234.9061737,239.0282227,233.6615981,236.6784634,53798100
05-03-2025,234.7170105,235.5234931,228.235251,234.3983918,47227600
06-03-2025,234.3087921,236.827812,232.1482106,233.4226549,45170400
07-03-2025,238.0325623,240.3225692,233.7412528,234.08974,46273600
10-03-2025,226.4928436,235.1351846,223.2469959,234.5178647,72071200
11-03-2025,219.8816528,224.8599551,216.5063645,222.8387656,76137400
12-03-2025,216.0384064,220.7877111,213.9773971,219.1846971,62547500
13-03-2025,208.7700806,215.8990132,207.5155538,215.012876,61368300
14-03-2025,212.5635529,213.0215482,208.6705169,210.333268,60107600
17-03-2025,213.0713501,214.2860571,209.0588394,212.3843419,48073400
18-03-2025,211.7670288,214.2163451,210.5722393,213.2306509,42432400
19-03-2025,214.305954,217.8106677,212.8224145,213.2903761,54385400
20-03-2025,213.1709137,216.5462021,211.2990671,213.0613904,48862900
21-03-2025,217.3228149,217.8903335,210.3631428,210.6419265,94127800
24-03-2025,219.7721405,220.5188859,217.6314765,220.0409731,44299500
25-03-2025,222.7790375,223.1275247,219.1249653,219.8119734,34493600
26-03-2025,220.5686646,224.0435251,219.5132669,222.540068,34466100
27-03-2025,222.8786011,224.0136534,219.6028696,220.4292696,37094800
28-03-2025,216.954422,222.8387793,216.7353755,220.7080664,39818600
31-03-2025,221.1660614,224.6409067,215.2916556,216.0682695,65299300
01-04-2025,222.2214813,222.7093453,217.950089,218.8561438,36412700
02-04-2025,222.9184418,224.2128035,220.0609008,220.359602,35905900
03-04-2025,202.3082428,206.5895856,200.3766592,204.6480357,103419000
04-04-2025,187.5625305,199.0126263,186.5270351,193.0486144,125910900
07-04-2025,180.6725616,193.3074807,173.8622323,176.4310382,160466300
08-04-2025,171.6717682,189.5140011,168.4757067,185.8897978,120859500
09-04-2025,197.9870911,199.739448,171.144078,171.2038152,184395900
10-04-2025,189.5936584,193.9347386,182.2058598,188.249526,121880000
11-04-2025,197.2901154,198.6740828,185.252584,185.2924189,87435900
14-04-2025,201.6411743,212.0159552,200.2870754,210.5224644,101352900
15-04-2025,201.2628021,202.6268521,198.9329603,200.9840184,51343900
16-04-2025,193.4269714,199.8290612,191.5352074,197.4992193,59732400
17-04-2025,196.1251984,197.9671763,193.5763099,196.3442449,52164700
21-04-2025,192.3217926,192.9590147,188.9863237,192.4313159,46742500
22-04-2025,198.8732452,200.7152082,195.1196007,195.2689437,52976400
23-04-2025,203.7121429,207.0973825,201.919951,205.1060616,52929200
24-04-2025,207.4657745,207.9237851,202.0593453,204.0008802,47311000
25-04-2025,208.3718262,208.8397878,205.30519,205.4744505,38222300
28-04-2025,209.2281036,210.5822026,206.5597407,209.0887118,38743100
29-04-2025,210.2934723,211.3190014,207.4657848,207.7844034,36827600
30-04-2025,211.5778503,212.6531655,205.773148,208.3917399,52286500
01-05-2025,212.3943176,213.628927,207.9934846,208.1727114,57365700
02-05-2025,204.4588928,206.0917755,201.2827333,205.1956719,101010600
05-05-2025,198.0269165,203.2143144,197.3498747,202.2186539,69018500
06-05-2025,197.6485596,199.7792724,196.1650352,197.3498736,51216500
07-05-2025,195.3983612,198.5745204,192.4113799,198.3056879,68536700
08-05-2025,196.6329956,199.181884,193.8351769,196.8619933,50478900
09-05-2025,197.6684875,199.6697598,196.6827781,198.1364492,36453900
12-05-2025,210.1504822,210.6290369,206.1227457,210.329944,63775800
13-05-2025,212.2839966,212.7525719,208.3659269,209.7915812,51909300
14-05-2025,211.6858215,213.2909376,209.9411308,211.785509,49325800
15-05-2025,210.8084869,212.3139155,208.904278,210.3100039,45029500
16-05-2025,210.6190643,211.9251028,209.1335945,211.7157332,54737900
19-05-2025,208.1465759,208.8444491,203.640285,207.2792203,46140500
20-05-2025,206.2324219,207.837538,204.407972,207.039962,42496600
21-05-2025,201.4768829,206.4118623,200.10108,204.5475405,59211800
22-05-2025,200.7490997,202.134882,199.0941323,200.1010778,46742400
23-05-2025,194.6775818,197.1002022,192.8730755,193.0824299,78432900
27-05-2025,199.6026001,200.1309909,196.8310202,197.6983911,56288500
28-05-2025,199.8119507,202.11494,199.293524,199.9814331,45339700
29-05-2025,199.3433838,203.1916738,197.9077501,202.9623759,51396800
30-05-2025,200.2406616,201.3472947,196.183002,198.7651407,70819900
02-06-2025,201.0880737,201.5167771,199.5128654,199.6723836,35423300
03-06-2025,202.6533051,203.1517881,200.3503158,200.739132,46381600
